Country Name,year,Kilotons
Canada,1960,192895.201
China,1960,780726.302
France,1960,271218.654
United Kingdom,1960,584299.78
India,1960,120581.961
Japan,1960,232781.16
Sri Lanka,1960,2258.872
Pakistan,1960,14154.62
United States,1960,2890696.1
Canada,1970,341485.708
China,1970,771617.474
France,1970,439013.24
United Kingdom,1970,653063.364
India,1970,195143.072
Japan,1970,768823.22
Sri Lanka,1970,3597.327
Pakistan,1970,24337.879
United States,1970,4328904.501
Canada,1980,443233.957
China,1980,1467192.369
France,1980,505363.938
United Kingdom,1980,579290.658
India,1980,314016.211
Japan,1980,947571.135
Sri Lanka,1980,3410.31
Pakistan,1980,32067.915
United States,1980,4723209.677
Canada,1990,435181.225
China,1990,2442431.019
France,1990,375691.484
United Kingdom,1990,555924.534
India,1990,619154.615
Japan,1990,1096179.977
Sri Lanka,1990,3868.685
Pakistan,1990,68565.566
United States,1990,4823403.118
Canada,2000,534380.909
China,2000,3405179.867
France,2000,362226.26
United Kingdom,2000,541784.582
India,2000,1031853.463
Japan,2000,1220527.947
Sri Lanka,2000,10238.264
Pakistan,2000,106449.343
United States,2000,5693684.894
Canada,2010,534670.602
China,2010,8776040.416
France,2010,353033.091
United Kingdom,2010,493207.833
India,2010,1719690.988
Japan,2010,1171624.835
Sri Lanka,2010,13263.539
Pakistan,2010,161395.671
United States,2010,5395532.125
